Quarter,count,min,max,mean,median,std
2016_2nd_quarter,19.0,-492.45,15273.85,6541.393157894737,7543.5,6511.4016700980865
2016_3rd_quarter,19.0,-208.4,15371.73,6590.693157894736,7930.83,6499.976270619978
2016_4th_quarter,19.0,-480.21,15577.77,6750.465789473684,8312.42,6686.217328641489
2017_1st_quarter,19.0,-609.32,14591.1,6684.62052631579,9470.19,6407.4687291129885
2017_2nd_quarter,19.0,-582.09,15296.72,6905.015789473684,9366.91,6679.376944196979
2017_3rd_quarter,19.0,-435.83,15435.11,6912.834210526316,9194.89,6709.341632820876
2017_4th_quarter,19.0,-460.87,14975.92,6686.958947368421,8830.75,6529.306629885404
2018_1st_quarter,19.0,-252.94,13185.53,6455.23052631579,9651.92,6074.1748352005025
2018_2nd_quarter,19.0,-930.78,14170.78,6935.761578947368,10900.93,6653.348776552103
2018_3rd_quarter,19.0,-339.68,15694.53,7060.525263157895,9666.29,6745.10386778964
2018_4th_quarter,19.0,-6.65,15657.73,7488.001578947368,11388.98,7027.367315704812
2019_1st_quarter,19.0,-564.6,14710.22,7050.99894736842,10860.25,6770.13792094034
2019_2nd_quarter,19.0,-281.65,13930.73,6941.222631578948,11462.9,6525.702576367496
2019_3rd_quarter,19.0,-38.08,14931.01,6984.18052631579,10368.97,6527.550660231067
2019_4th_quarter,19.0,-166.82,15685.33,7200.613157894736,10150.53,6907.4157347142755
2020_1st_quarter,19.0,-129.68,14068.82,6698.192105263158,10030.98,6425.030778607281
2020_2nd_quarter,19.0,-422.12,13024.81,5359.000526315789,7345.38,5231.809870401205
2020_3rd_quarter,19.0,-233.35,11643.71,5687.583157894737,9072.45,5366.283841969073
2020_4th_quarter,19.0,-304.92,12309.96,5931.217894736841,9366.94,5670.238228662373
2021_1st_quarter,19.0,-258.96,11698.39,5018.588947368421,6593.28,4825.090709454642
2021_2nd_quarter,19.0,-142.91,12299.76,5445.848947368421,6881.27,5311.776969463332
20213rd_quarter,19.0,-270.0,13282.33,5948.733157894737,7983.33,5774.580155919998
2021_4th_quarter,19.0,-158.78,13416.65,6138.6884210526305,8400.65,5927.360435789145
20221st_quarter,19.0,-87.11,13746.11,6151.704210526315,8111.0,5967.849394445313
2022_2nd_quarter,19.0,-204.03,13861.39,5911.183684210527,6857.0,5852.702704148467
2022_3nd_quarter_[provisional],19.0,-629.24,13383.71,5641.384736842105,6193.0,5776.224972503301
